Designation (and name)     Prov. Des.  Ln      q       Q      H     Epoch      M     Peri.  Node    Incl.   e      a      Opps.     Ref.
(545587)                   2011 QU107  L5    5.045   5.498  14.59  20230913   47.02  186.3  106.0    5.6  0.043   5.272     9     MPO780555
(545588)                   2011 QN109  L5    4.651   5.730  14.47  20230913   34.20  131.1  176.0   38.3  0.104   5.191     9     MPO780555
(545598)                   2011 RS22   L5    4.915   5.669  14.32  20230913   30.01   66.5  255.5    5.7  0.071   5.292     8     MPO780555
(545606)                   2011 SL22   L5    5.068   5.511  13.96  20230913   39.67  224.4   81.4   11.1  0.042   5.290    13     MPO780555
(545609)                   2011 SA26   L5    4.928   5.791  14.54  20230913  355.98   86.9  252.1    6.9  0.081   5.359    10     MPO780555
(545634)                   2011 SF69   L5    4.784   5.773  14.49  20230913   39.89   92.0  214.3    2.3  0.094   5.278    10     MPO780556
(545742)                   2011 SA295  L5    5.009   5.503  13.98  20230913   89.32   45.5  219.5   26.5  0.047   5.256    10     MPO780556
(545972)                   2011 UC425  L5    5.113   5.461  14.16  20230913   56.51  105.7  189.6   27.6  0.033   5.287     9     MPO780557
(546195)                   2010 TO192  L4    4.734   5.572  14.77  20230913   92.11  326.3   23.7    9.3  0.081   5.153    10     MPO731928
(546218)                   2010 TK210  L4    4.843   5.462  14.77  20230913  304.92  312.8  201.7   15.2  0.060   5.153     8     MPO731928
(546242)                   2010 UX36   L4    4.949   5.665  13.74  20230913  347.10  178.0  286.9    7.9  0.067   5.307    15     MPO780558
(546256)                   2010 UT50   L4    4.677   5.628  13.34  20230913   12.97  175.3  261.0   26.3  0.092   5.152     8     MPO780558
(546263)                   2010 UE66   L4    5.116   5.344  14.14  20230913  318.75   73.4   42.6   11.3  0.022   5.230    11     MPO731929
(546273)                   2010 UY81   L4    4.148   6.183  14.28  20230913  354.54  231.3  231.6    5.6  0.197   5.165    13     MPO780558
(546274)                   2010 UO83   L4    4.797   5.511  14.05  20230913  350.16   58.9   46.2   20.5  0.069   5.154     9     MPO780558
(546275) Kozak             2010 UW83   L4    4.666   5.822  13.09  20230913    3.25  177.3  264.4   14.4  0.110   5.244    11     MPO731929
(546286)                   2010 UF101  L4    4.889   5.590  13.95  20230913   12.54  151.7  284.6    9.1  0.067   5.240    11     MPO780558
(546289)                   2010 UL108  L4    4.883   5.470  14.33  20230913   31.04  109.4  318.3    9.0  0.057   5.176    11     MPO780558
(546304)                   2010 UT117  L4    4.841   5.369  14.65  20230913   26.53  333.7   99.1    7.0  0.052   5.105     9     MPO731929
(546313)                   2010 UG120  L4    4.736   5.634  14.54  20230913  330.30  113.6   22.5   10.2  0.087   5.185     9     MPO780558
(546314)                   2010 UH120  L4    5.189   5.285  14.22  20230913   58.47  141.2  232.3   12.1  0.009   5.237    12     E2023-QG4
(546348)                   2010 VU45   L4    4.327   6.003  14.17  20230913   47.75  141.4  258.7    9.8  0.162   5.165     9     MPO745323
(546354)                   2010 VD54   L4    4.831   5.537  14.25  20230913  328.97   43.8   76.6    7.1  0.068   5.184    10     MPO731929
(546358)                   2010 VD56   L4    4.809   5.501  14.36  20230913  258.66   38.0  156.1    3.4  0.067   5.155    14     MPO731929
(546365)                   2010 VK60   L4    4.800   5.534  14.31  20230913  355.60  109.7  329.3   11.1  0.071   5.167    10     MPO731929
(546387)                   2010 VA88   L4    4.528   5.779  14.21  20230913   23.06  172.6  263.7    5.9  0.121   5.154    12     MPO731930
(546396)                   2010 VN95   L4    4.980   5.483  14.10  20230913  332.31  230.8  237.6   11.3  0.048   5.231    12     MPO731930
(546406)                   2010 VD108  L4    4.589   5.775  14.45  20230913  355.85  354.8   97.1    6.8  0.114   5.182    11     MPO780558
(546419)                   2010 VJ119  L4    4.991   5.252  14.51  20230913   93.90  287.5   78.9    8.4  0.026   5.122     9     MPO701799
(546443)                   2010 VP147  L4    4.480   5.831  14.48  20230913   39.62  189.9  222.1   13.4  0.131   5.155     9     MPO731930
(546454)                   2010 VD159  L4    4.792   5.464  14.41  20230913   57.56  257.0  135.0    8.4  0.065   5.128    16     MPO780558
(546458)                   2010 VO163  L4    4.759   5.674  14.03  20230913   27.34    9.5   55.9   24.8  0.088   5.216     8     MPO780558
(546460)                   2010 VF166  L4    4.703   5.731  14.59  20230913    1.80  216.7  221.3    6.6  0.099   5.217     9     MPO731930
(546461)                   2010 VG166  L4    4.939   5.504  14.34  20230913  276.51  108.3   57.0    6.7  0.054   5.222    12     MPO731930
(546467)                   2010 VE171  L4    5.154   5.372  13.74  20230913  346.52  220.0  245.8   14.7  0.021   5.263    14     MPO731930
(546468)                   2010 VD172  L4    5.103   5.489  14.30  20230913  138.62   55.7  250.1   13.7  0.036   5.296    10     MPO731930
(546490)                   2010 VR192  L4    4.797   5.579  13.73  20230913  104.29   67.1  280.6   10.4  0.075   5.188    12     MPO780558
(546491)                   2010 VK193  L4    4.885   5.446  14.31  20230913  322.80  296.9  183.2   14.2  0.054   5.165    11     MPO731931
(546493)                   2010 VC203  L4    4.693   5.522  13.66  20230913   47.08  123.5  281.8   17.5  0.081   5.107    14     MPO780558
(546512)                   2010 VZ215  L4    4.215   6.203  14.22  20230913  342.57  219.5  247.5    8.4  0.191   5.209     8     MPO731931
(546525)                   2010 VK225  L4    5.004   5.708  14.30  20230913   39.52  287.5  117.0    5.6  0.066   5.356    11     MPO780558
(546526)                   2010 VM225  L4    4.828   5.537  14.38  20230913  350.92  356.6   86.9    2.5  0.068   5.182    12     MPO731931
(546527)                   2010 VO225  L4    4.977   5.303  13.76  20230913   21.55   73.4  345.5   13.1  0.032   5.140    12     MPO731931
(546543)                   2010 VB231  L4    4.654   5.815  14.09  20230913   29.05  353.8   61.2   16.6  0.111   5.234     9     MPO780558
(546573)                   2010 VX243  L4    4.746   5.520  14.28  20230913   63.49  292.5   97.2   10.5  0.075   5.133    11     MPO780558
(546579)                   2010 VT244  L4    5.007   5.494  14.59  20230913  247.99   77.0  113.3    9.1  0.046   5.250     9     MPO731931
(546585)                   2010 VM246  L4    4.940   5.511  13.78  20230913  342.47  190.6  276.5   12.9  0.055   5.225     9     MPO780558
(546587)                   2010 VK247  L4    4.881   5.530  14.42  20230913  357.40  349.9  111.8   10.0  0.062   5.205    10     MPO731931
(546588)                   2010 VO247  L4    4.455   6.008  14.43  20230913  351.72  182.3  283.3    8.2  0.148   5.231    10     MPO780558
(546590)                   2010 VE249  L4    4.764   5.476  14.59  20230913   63.33  328.6   54.3    8.2  0.069   5.120    11     MPO780559
(546592)                   2010 VG249  L4    4.693   5.527  14.60  20230913  357.40   25.5   71.4    8.5  0.082   5.110    11     MPO780559
(546593)                   2010 VJ249  L4    4.731   5.593  14.21  20230913   92.64  330.0   35.7    6.7  0.084   5.162    13     MPO780559
(546594)                   2010 VL249  L4    4.630   5.675  14.46  20230913   14.65    2.8   96.1    8.7  0.101   5.152     9     MPO780559
(546618)                   2010 WT10   L4    5.011   5.624  14.41  20230913    3.45  301.4  129.3    2.3  0.058   5.317    10     MPO731932
(546623)                   2010 WE13   L4    4.672   5.723  13.88  20230913    7.55   12.5   71.3   10.3  0.101   5.198    13     MPO780559
(546627)                   2010 WX14   L4    4.757   5.790  13.98  20230913  332.27  251.9  228.7   14.5  0.098   5.274    11     MPO731932
(546636)                   2010 WM31   L4    5.082   5.319  14.05  20230913  346.96   42.9   70.0    9.6  0.023   5.201    12     MPO780559
(546653)                   2010 WJ41   L4    4.875   5.462  14.56  20230913   67.72   95.7  289.5    6.8  0.057   5.168    11     MPO780559
(546654)                   2010 WM42   L4    4.736   5.743  14.25  20230913  331.53  209.1  280.0    9.4  0.096   5.240    11     MPO780559
(546667)                   2010 WW56   L4    4.252   6.280  14.35  20230913    5.08    1.1   89.2   13.6  0.193   5.266     7     MPO731932
(546668)                   2010 WY56   L4    4.913   5.425  14.04  20230913  183.88  183.0   90.9   13.7  0.049   5.169     8     MPO731932
(546689)                   2010 WY76   L4    4.806   5.570  14.19  20230913   24.87  127.6  288.6    8.2  0.074   5.188     9     MPO780559
(546690)                   2010 WM77   L4    4.926   5.465  14.25  20230913  166.33   43.4  246.2   14.8  0.052   5.196     8     MPO731932
(546691)                   2010 WP77   L4    4.911   5.381  14.63  20230913   82.25  124.9  252.2   14.4  0.046   5.146     8     MPO731932
(546692)                   2010 WA78   L4    5.033   5.370  14.60  20230913  337.39  255.3  221.7    5.9  0.032   5.201    10     MPO780559
(546693)                   2010 WF78   L4    4.856   5.685  13.91  20230913   55.89  302.7  102.3    8.9  0.079   5.270    10     MPO731932
(546715)                   2010 XT25   L4    4.910   5.285  13.42  20230913   49.09  341.5   72.9   28.7  0.037   5.097    12     MPO780559
(546743)                   2010 XG59   L4    4.691   5.680  14.61  20230913   43.68  170.7  256.2    9.8  0.095   5.185     9     MPO731933
(546752)                   2010 XO67   L4    4.880   5.678  14.39  20230913  354.25    6.5   98.9    8.6  0.076   5.279    10     MPO780559
(546760)                   2010 XQ75   L4    4.721   5.646  14.08  20230913   28.70   29.0   56.9    8.2  0.089   5.183    12     MPO780559
(546777)                   2010 XF91   L4    4.828   5.717  14.58  20230913   44.80  293.2  115.7    4.9  0.084   5.272    10     MPO731933
(546778)                   2010 XG91   L4    5.080   5.591  14.31  20230913   26.22  343.9   78.9   12.4  0.048   5.336    12     MPO731933
(546779)                   2010 XH91   L4    4.659   5.761  14.36  20230913  342.32  329.0  161.7    8.0  0.106   5.210    13     MPO780559
(546780)                   2010 XN91   L4    4.709   5.780  14.14  20230913  339.17   12.3  106.2   11.3  0.102   5.244    10     MPO780559
(546781)                   2010 XR91   L4    5.011   5.494  13.66  20230913   47.14  337.7   75.1   12.3  0.046   5.253    13     MPO731933
(546808)                   2010 XA102  L4    4.321   5.986  14.31  20230913  166.32  181.8  106.7   17.4  0.162   5.153     8     MPO701807
(546818)                   2010 XK105  L4    4.857   5.433  14.16  20230913   72.00  289.4  115.4   16.6  0.056   5.145    11     MPO780559
(546820)                   2010 XO105  L4    4.726   5.678  13.90  20230913  359.67  196.0  248.1   14.3  0.092   5.202     9     MPO731933
(546825)                   2010 XM106  L4    4.666   5.849  14.54  20230913   32.74  156.6  260.1    9.8  0.113   5.258     9     MPO780559
(546826)                   2010 XJ108  L4    4.999   5.392  14.87  20230913    6.91    8.8   79.9   10.3  0.038   5.196     9     MPO780559
(546827)                   2010 XB109  L4    4.996   5.292  14.53  20230913   34.25  304.9  133.5    8.2  0.029   5.144    13     MPO731933
(546829)                   2010 XL109  L4    5.087   5.410  14.34  20230913   62.66  277.5  118.0   12.2  0.031   5.249    12     MPO780559
(546840)                   2010 YR6    L4    4.828   5.540  14.22  20230913   43.81  164.8  265.4   14.1  0.069   5.184     9     MPO731933
(547845)                   2010 VY254  L4    4.678   5.638  14.42  20230913   28.57  347.9   91.8    8.6  0.093   5.158    11     MPO780565
(547884)                   2010 WA54   L4    4.734   5.662  14.01  20230913   26.50   15.9   60.6   15.2  0.089   5.198    10     MPO780565
(547888)                   2010 WL68   L4    4.904   5.604  14.28  20230913   68.43  329.1   54.1    5.7  0.067   5.254    13     MPO780565
(547957)                   2010 XS111  L4    5.111   5.466  14.31  20230913  100.17  241.1  109.9    8.7  0.034   5.288    12     MPO780566
(548819)                   2010 VP225  L4    4.825   5.477  14.37  20230913   70.58   52.5  310.6   18.7  0.063   5.151     8     MPO731936
(548831)                   2010 VW245  L4    4.942   5.480  14.19  20230913   47.62  134.3  274.9   15.1  0.052   5.211     7     MPO780573
(549662)                   2011 QP65   L5    4.624   5.715  13.28  20230913   32.43  129.8  169.7   38.6  0.106   5.169    11     MPO780580
(549998)                   2011 WW135  L4    4.637   5.702  13.93  20230913    9.49  346.7   90.6   11.5  0.103   5.170    13     MPO780582
(550015)                   2011 WZ167  L4    4.477   5.838  14.70  20230913   45.05  112.3  290.8   10.3  0.132   5.157     9     MPO780582
(550041)                   2011 YT14   L4    4.486   5.904  14.07  20230913   15.98  335.9  103.7   16.3  0.136   5.195    12     MPO780582
(550064)                   2011 YD68   L4    5.067   5.472  13.84  20230913   60.02   99.3  312.6   30.3  0.038   5.270     9     MPO780583
(550088)                   2011 YJ89   L4    4.927   5.509  14.43  20230913   12.68  139.7  309.6   34.2  0.056   5.218     8     MPO780583
(550106)                   2012 AH30   L4    5.215   5.391  14.21  20230913    5.00  158.5  296.8   28.8  0.017   5.303     5     MPO701869
(550600)                   2012 QJ42   L5    5.060   5.317  14.53  20230913   29.50   58.5  219.9    8.2  0.025   5.188     9     MPO780589
(550816)                   2012 TJ210  L5    4.522   5.828  14.37  20230913   18.88  158.7  155.9   10.6  0.126   5.175    10     MPO780591
(550916)                   2012 UN34   L4    4.946   5.549  13.17  20230913  322.61  183.1  286.0   26.7  0.057   5.247    12     E2023-D28
(551215)                   2012 YS9    L4    4.703   5.631  14.82  20230913   22.41  101.8  311.0    6.1  0.090   5.167    10     MPO731942
(551218)                   2012 YB13   L4    5.131   5.231  14.32  20230913  345.43  137.7  314.0   20.9  0.010   5.181     9     MPO780594
(551262)                   2013 AE68   L4    4.849   5.393  14.25  20230913  334.73    3.9  106.9   19.4  0.053   5.121     9     MPO731942
(551276)                   2013 AH91   L4    4.642   5.577  14.54  20230913   19.72   86.1  337.4    7.3  0.092   5.109     9     MPO780594
(551279)                   2013 AF94   L4    5.155   5.390  13.10  20230913  300.04  195.5  298.2   17.5  0.022   5.272    11     MPO731942
(551301)                   2013 AM129  L4    4.845   5.566  13.96  20230913  338.78  330.7  137.0   32.7  0.069   5.205     8     MPO731942
(551302)                   2013 AN131  L4    5.028   5.418  14.09  20230913    5.65  107.1  322.7   20.7  0.037   5.223    11     MPO780595
(551303)                   2013 AS131  L4    4.409   5.949  14.26  20230913    9.78  273.3  166.5    8.2  0.149   5.179     9     MPO731942
(551304)                   2013 AH133  L4    5.026   5.335  13.38  20230913   43.28   55.2    4.0    8.2  0.030   5.181    17     MPO780595
(551320)                   2013 BC     L4    5.003   5.339  14.09  20230913  305.99  172.0  320.2   16.5  0.033   5.171     9     MPO731942
(551321)                   2013 BQ     L4    4.764   5.679  14.26  20230913  323.76  150.9  323.9   11.9  0.088   5.221     9     MPO731942
(551322)                   2013 BJ1    L4    4.997   5.478  13.99  20230913   23.54  320.0   90.1   13.5  0.046   5.238    10     MPO731942
(551332)                   2013 BZ17   L4    4.957   5.412  13.92  20230913   76.37   83.4  288.9   30.2  0.044   5.185     7     MPO780595
(551340)                   2013 BH31   L4    4.824   5.556  14.35  20230913   45.84  305.3   87.6    8.7  0.070   5.190     7     MPO731942
(551406)                   2013 CQ85   L4    4.871   5.610  14.33  20230913    3.17  307.9  120.6   10.9  0.071   5.241     7     MPO780595
(551417)                   2013 CQ104  L4    4.271   6.135  14.81  20230913   18.70  319.3  105.6    6.6  0.179   5.203     9     MPO780595
(551867)                   2013 NK49   L5    4.926   5.484  13.63  20230913  339.21  126.8  229.2   25.5  0.054   5.205     8     MPO780599
(551898)                   2013 PT39   L5    4.813   5.505  14.42  20230913  341.35  187.0  122.4    1.9  0.067   5.159     8     MPO701903
(552046)                   2013 RJ129  L5    4.829   5.368  14.39  20230913  324.41  278.9   83.0    1.7  0.053   5.098    12     MPO780600
(552117)                   2013 TU41   L5    4.765   5.777  13.69  20230913  294.23  186.5  203.2   11.6  0.096   5.271    16     E2023-R04
(552122)                   2013 TX46   L5    4.321   6.041  13.96  20230913   33.89  255.8   23.0    9.9  0.166   5.181    10     MPO780601
(552127)                   2013 TU55   L5    4.908   5.410  14.03  20230913   50.57   55.6  218.2   25.5  0.049   5.159    11     MPO780601
(552177)                   2013 TL143  L5    4.678   5.521  13.60  20230913  289.81  344.6   37.9   10.6  0.083   5.099    16     E2023-Q57
(552226)                   2013 UB34   L5    4.918   5.486  14.25  20230913  331.06  159.2  213.2   28.1  0.055   5.202     9     MPO780601
(552354)                   2013 WR123  L5    4.908   5.579  14.82  20230913  194.87   22.2  117.1    7.6  0.064   5.243     8     MPO701911
(553392)                   2011 MS14   L5    4.363   6.008  14.19  20230913  353.38   99.3  236.4   12.4  0.159   5.186    10     MPO780612
(553393)                   2011 NR4    L5    4.741   5.464  14.55  20230913  316.31  213.3  153.5   11.4  0.071   5.102     9     E2023-R06
(553402)                   2011 OO26   L5    4.972   5.278  14.22  20230913  327.62  233.4  122.3   12.4  0.030   5.125    13     E2023-R94
(553408)                   2011 OH40   L5    4.779   5.632  14.40  20230913  352.95  202.2  123.4    7.5  0.082   5.205    13     E2023-R94
(553421)                   2011 OJ63   L5    5.126   5.391  14.54  20230913  270.20  274.3  125.8   27.9  0.025   5.258     8     E2023-R06
(553424)                   2011 OZ69   L5    4.543   5.928  14.62  20230913  355.71  154.9  181.4    7.7  0.132   5.235     8     MPO780612
(553428)                   2011 PA1    L5    5.001   5.489  13.38  20230913   13.82  148.4  144.8   22.5  0.047   5.245    11     E2023-R06
(553435)                   2011 PV15   L5    4.765   5.732  14.72  20230913   11.44  134.5  171.0   21.0  0.092   5.248    10     MPO780612
(553437)                   2011 QO3    L5    4.576   5.835  12.96  20230913   14.18   42.6  265.8    9.9  0.121   5.205    15     MPO780612
(553813)                   2011 WT175  L4    4.287   6.147  13.86  20230913  342.74   31.6   86.2   24.7  0.178   5.217    10     MPO780615
(554123)                   2012 MN6    L5    4.810   5.606  14.31  20230913  344.51  100.6  231.3   26.8  0.076   5.208     6     MPO701945
(554166)                   2012 QD23   L5    4.740   5.553  13.78  20230913  357.45  151.2  181.3   18.1  0.079   5.146    13     MPO780617
(554167)                   2012 QS25   L5    5.135   5.433  14.05  20230913  359.70  139.4  183.6   15.1  0.028   5.284    12     MPO780618
(554176)                   2012 QF40   L5    4.952   5.528  13.03  20230913  184.27  318.3  173.2   23.3  0.055   5.240    17     E2023-R04
(554191)                   2012 QD64   L5    4.871   5.487  14.58  20230913  327.79  345.6  351.8    7.9  0.059   5.179     9     E2023-N62
(554194)                   2012 QN65   L5    4.611   5.666  14.45  20230913   19.54  165.6  143.1    6.2  0.103   5.139    15     MPO780618
(554207)                   2012 RB27   L5    4.725   5.530  13.64  20230913   11.14  135.1  192.6   29.7  0.078   5.128    13     MPO780618
(554228)                   2012 SN6    L5    4.707   5.557  13.22  20230913    0.45   89.9  242.9   26.4  0.083   5.132    11     MPO780618
(554234)                   2012 SK17   L5    4.512   5.904  13.94  20230913   14.75  122.8  192.7   25.1  0.134   5.208    10     MPO780618
(554281)                   2012 TF     L5    4.579   5.770  14.24  20230913   23.72  146.9  157.2    6.1  0.115   5.174    14     E2023-R58
(554292)                   2012 TC24   L5    4.975   5.542  14.32  20230913   62.56   63.1  204.0   32.6  0.054   5.258    10     E2023-Q78
(554630)                   2012 VR40   L5    5.028   5.632  14.76  20230913   40.49  264.6   44.5    0.9  0.057   5.330    10     MPO780623
(554839)                   2013 CW139  L4    5.068   5.272  14.29  20230913  321.71   49.4   99.5    8.5  0.020   5.170    12     MPO780625
(554895)                   2013 EQ140  L4    4.873   5.381  14.69  20230913  332.27    9.2  114.7    7.3  0.050   5.127     9     MPO731956
(554903)                   2013 EW174  L4    4.964   5.452  14.75  20230913   24.66  348.7  104.7    0.7  0.047   5.208     9     MPO701959
(555034)                   2013 OT11   L5    4.927   5.575  14.12  20230913   42.64   83.2  197.1   27.0  0.062   5.251     9     MPO780626
(555159)                   2013 RZ109  L5    5.002   5.384  14.57  20230913  310.70   83.5  263.4    2.1  0.037   5.193     8     MPO745323
(555168)                   2013 RZ136  L5    4.633   5.667  14.39  20230913  351.25  250.5   68.5   16.1  0.100   5.150     8     E2023-R13
(555173)                   2013 SJ5    L5    4.927   5.610  13.66  20230913  341.78  120.5  225.6   11.7  0.065   5.269    12     MPO780627
(555272)                   2013 TU200  L5    5.012   5.552  14.49  20230913    1.45  109.4  203.2   17.1  0.051   5.282    10     MPO745323
(555276)                   2013 TV213  L5    5.062   5.418  14.71  20230913  315.12  192.5  165.8    3.7  0.034   5.240    11     E2023-P27
(555843)                   2014 EU243  L4    4.771   5.604  14.42  20230913   45.57  227.0  176.4   32.2  0.080   5.188     8     MPO731960
(557082)                   2014 SO349  L5    5.118   5.214  14.68  20230913   59.15  171.7   89.9   29.5  0.009   5.166     5     MPO702000
(557111)                   2014 SE378  L5    4.993   5.622  13.64  20230913   12.19  165.6  139.0   29.1  0.059   5.307     9     MPO780645
(557165)                   2014 TT44   L5    4.971   5.325  13.68  20230913  300.89  330.0   38.8   25.1  0.034   5.148     8     MPO702002
(557182)                   2014 TG57   L5    4.723   5.458  14.01  20230913  338.87  127.4  222.4   27.2  0.072   5.090    13     MPO780646
(557191)                   2014 TQ66   L5    4.950   5.447  13.73  20230913  321.91  117.6  228.7   14.3  0.048   5.199    13     MPO745323
(557202)                   2014 TX75   L5    5.101   5.258  14.46  20230913  276.79  169.0  207.9   22.8  0.015   5.179     6     MPO702003
(557257)                   2014 UA22   L5    4.706   5.545  14.07  20230913  328.51  258.5  102.9    7.9  0.082   5.125    11     MPO780646
(557260)                   2014 UQ27   L5    5.009   5.595  13.88  20230913    0.68   90.1  225.1   23.3  0.055   5.302    10     MPO745323
(557334)                   2014 US97   L5    4.729   5.501  14.36  20230913  337.47  271.8   66.2   19.3  0.075   5.115     7     MPO745323
(557546)                   2014 WU4    L5    5.106   5.413  14.39  20230913   65.17   26.6  226.2   22.1  0.029   5.260     7     E2023-O65
(557548)                   2014 WN6    L5    5.197   5.380  13.50  20230913   52.16   38.3  220.7   24.6  0.017   5.289    13     MPO745323
(557596)                   2014 WK53   L5    4.554   5.803  14.26  20230913  341.94  267.0   73.9    7.9  0.121   5.178     9     MPO780650
(557679)                   2014 WZ119  L5    4.937   5.421  12.76  20230913  325.39  269.9   86.5   32.4  0.047   5.179    15     MPO702012
(557681)                   2014 WD124  L5    4.736   5.548  13.61  20230913  355.11   80.7  257.3   17.0  0.079   5.142    11     MPO780651
(557757)                   2014 WD211  L5    4.699   5.769  13.70  20230913   13.13   70.4  242.3   23.2  0.102   5.234     8     MPO780651
(557761)                   2014 WB214  L5    4.884   5.522  13.99  20230913  249.87  341.2   78.5   12.8  0.061   5.203    13     MPO745323
(557920)                   2014 WY383  L5    4.787   5.615  14.32  20230913   11.17  253.7   55.6   18.1  0.080   5.201    11     MPO780653
(558009)                   2014 WO471  L5    4.757   5.531  14.49  20230913   31.39   56.6  242.8   17.6  0.075   5.144     6     E2023-RF8
(558011)                   2014 WC472  L5    4.704   5.712  13.92  20230913  292.04  271.9  122.7   10.1  0.097   5.208    17     E2023-R94
(558012)                   2014 WK472  L5    4.821   5.678  14.29  20230913  329.04  169.3  181.8    9.3  0.082   5.249    11     E2023-R06
(558091)                   2014 WE535  L5    5.021   5.593  13.67  20230913  341.02  226.7  113.3   24.5  0.054   5.307     9     E2023-P01
(558104)                   2014 WL564  L5    4.782   5.543  14.44  20230913   30.25  179.1  118.5   32.5  0.074   5.163     8     MPO780654
(558121)                   2014 WC574  L5    5.036   5.559  14.12  20230913   14.05  181.9  140.2   27.7  0.049   5.297    11     MPO780655
(558167)                   2014 XK40   L5    4.289   6.109  14.33  20230913  309.22  292.4   83.6    4.4  0.175   5.199    13     E2023-Q57
(558171)                   2014 XQ44   L5    4.643   5.648  13.97  20230913   44.47  223.4   74.5   30.6  0.098   5.146     7     MPO780655
(558174)                   2014 XB50   L5    4.969   5.355  14.09  20230913  343.91  224.3  110.3   30.5  0.037   5.162     7     E2023-RF8
(558175)                   2014 XL50   L5    5.054   5.448  14.43  20230913  317.01  255.2   98.3   28.4  0.038   5.251     7     E2023-Q57
(558261)                   2015 AJ5    L5    4.858   5.401  14.36  20230913  332.42  267.3   84.9   32.1  0.053   5.129     7     MPO713468
(558310)                   2015 AT47   L5    4.965   5.529  13.90  20230913  326.33  243.9  110.8   30.1  0.054   5.247     9     E2023-R13
(558364)                   2015 AK95   L5    5.048   5.467  14.41  20230913  334.11  230.1  128.2   30.9  0.040   5.258     7     E2023-R69
(558514)                   2015 AW254  L5    4.864   5.692  13.51  20230913  332.72  240.7  102.0   25.5  0.078   5.278    10     E2023-RF8
(558736)                   2015 BN111  L5    4.554   5.881  14.41  20230913   18.64  206.1  109.8   11.3  0.127   5.217     9     MPO780660
(559292)                   2015 BU615  L4    4.802   5.491  14.63  20230913   99.73  102.8  256.8   17.1  0.067   5.147     8     MPO731968
(559663)                   2015 DP134  L4    4.875   5.536  14.06  20230913   71.64  283.9   90.6   15.2  0.063   5.205    11     MPO780671
(560187)                   2015 FD145  L4    4.759   5.514  14.52  20230913   51.94    4.1   38.3    8.1  0.073   5.136    10     MPO731969
(560470)                   2015 FM393  L4    4.971   5.704  13.55  20230913   32.95  355.8   65.7   22.4  0.069   5.337     9     MPO780682
(560713)                   2015 HB217  L4    5.174   5.527  14.38  20230913   14.80  349.6   87.5   12.1  0.033   5.351     9     MPO731970
(560802)                   2015 KS149  L4    4.448   5.953  14.27  20230913  269.22  129.1   67.4   13.0  0.145   5.200     8     MPO780686
(562168)                   2015 XQ260  L5    4.941   5.546  14.62  20230913  330.11  107.3  229.4    4.0  0.058   5.243    11     MPO780697
(562557)                   2016 AM67   L5    4.428   6.017  13.72  20230913  346.95  226.1  115.9   20.7  0.152   5.222     8     MPO780703
(562585)                   2016 AG88   L5    4.806   5.529  13.89  20230913  309.54  112.2  247.3   12.5  0.070   5.168    10     MPO745323
(563348)                   2016 CA165  L5    4.900   5.514  14.40  20230913   24.75  223.2  105.4    8.0  0.059   5.207    12     MPO780712
(564961)                   2016 YR5    L5    4.933   5.491  14.40  20230913  286.19  302.6   81.1   27.9  0.054   5.212     7     MPO702149
(564967)                   2016 YA18   L5    4.665   5.562  14.48  20230913   17.81  163.6  151.0   31.3  0.088   5.113     8     MPO780729
(564968)                   2016 YU18   L5    4.926   5.433  14.52  20230913  344.69  250.9   87.7   36.3  0.049   5.179     9     MPO702149
(565050)                   2017 BL34   L5    4.913   5.470  13.49  20230913  344.23  217.9  129.5   32.4  0.054   5.191    12     E2023-P27
(565140)                   2017 BA97   L5    5.031   5.258  13.58  20230913  299.75  273.5  105.1   17.8  0.022   5.145    12     E2023-RD0
(565143)                   2017 BT97   L5    4.825   5.681  13.60  20230913   22.72  166.8  133.2   13.4  0.082   5.253    12     MPO780730
(565147)                   2017 BB99   L5    5.017   5.499  14.20  20230913  322.17  230.6  126.9   20.7  0.046   5.258     9     E2023-R94
(565195)                   2017 BB155  L5    4.827   5.432  14.52  20230913   10.38  190.5  116.8   32.9  0.059   5.129    10     E2023-R13
(565196)                   2017 BN156  L5    4.848   5.541  14.23  20230913   39.43  132.6  151.7   32.9  0.067   5.195     9     MPO780730
(565197)                   2017 BM159  L5    4.762   5.802  14.17  20230913  336.91  239.3  102.4    9.9  0.099   5.282    11     E2023-R94
(565270)                   2017 DR6    L5    4.997   5.395  13.64  20230913  321.86  297.9   56.9   22.9  0.038   5.196    12     MPO745323
(565355)                   2017 DP52   L5    4.958   5.573  14.01  20230913  355.29  196.8  139.1   27.5  0.058   5.266     9     MPO780732
(567066)                   2019 DG     L5    4.969   5.405  14.15  20230913   28.72  143.7  132.4   17.5  0.042   5.187    10     E2023-R94
(567067)                   2019 GA2    L5    5.091   5.515  13.74  20230913    4.01  204.1  109.9   25.7  0.040   5.303     9     E2023-R13
(567068)                   2019 GX12   L5    4.831   5.596  14.42  20230913  350.32  134.6  198.8   27.9  0.073   5.213     8     E2023-P11
(567069)                   2019 GF13   L5    5.033   5.335  14.26  20230913  266.25  213.0  203.4   17.7  0.029   5.184     8     E2023-R94
(567071)                   2019 GJ48   L5    4.707   5.683  14.04  20230913   17.98   99.0  218.2   23.4  0.094   5.195     7     MPO780751
(567073)                   2019 KX4    L4    4.862   5.484  13.65  20230913   45.91  208.8  197.4   26.9  0.060   5.173    12     MPO731990
