Designation (and name)     Prov. Des.  Ln      q       Q      H     Epoch      M     Peri.  Node    Incl.   e      a      Opps.     Ref.
 (12126)                   1999 RM11   L5    4.123   6.304  10.19  20230913   24.55  304.7  351.0    2.0  0.209   5.214    30     MPO776141
 (12238) Actor             1987 YU1    L4    4.529   5.824  10.96  20230913   52.43  178.2  227.6   21.1  0.125   5.177    27     MPO776142
 (12242) Koon              1988 QY     L5    4.758   5.463  10.93  20230913   28.18   94.3  222.6   29.8  0.069   5.110    30     MPO776142
 (12444) Prothoon          1996 GE19   L5    4.860   5.612   9.97  20230913   43.52   66.1  213.2   30.8  0.072   5.236    26     MPO776145
 (12649) Ascanios          2035 T-3    L5    4.388   5.934  11.86  20230913   21.13  342.5  337.6    6.6  0.150   5.161    26     MPO776149
 (12658) Peiraios          1973 SL     L4    4.875   5.487  11.34  20230913   42.92  326.1  111.9    1.8  0.059   5.181    26     MPO776149
 (12714) Alkimos           1991 GX1    L4    5.046   5.440  10.29  20230913    3.76  162.4  298.9    9.5  0.038   5.243    27     MPO776150
 (12916) Eteoneus          1998 TL15   L4    5.025   5.235  11.49  20230913  355.24  222.0  219.3   26.4  0.020   5.130    24     MPO776153
 (12917)                   1998 TG16   L4    4.689   5.635  11.52  20230913    3.95  231.0  204.2   11.9  0.092   5.162    28     MPO776153
 (12921)                   1998 WZ5    L4    4.748   5.732  11.09  20230913   16.87  274.4  160.2   12.8  0.094   5.240    27     MPO776153
 (12929) Periboea          1999 TZ1    L5    5.032   5.468  10.05  20230913   18.17  130.3  200.2   43.4  0.042   5.250    28     MPO776153
 (12972) Eumaios           1973 SF1    L4    4.364   5.931  11.77  20230913   77.26  340.3   40.5    8.4  0.152   5.147    24     MPO776154
 (12973) Melanthios        1973 SY1    L4    4.819   5.419  11.56  20230913   56.49   38.6  358.1    5.7  0.059   5.119    26     MPO776154
 (12974) Halitherses       1973 SB2    L4    4.916   5.459  11.46  20230913   77.82    5.0   15.2    7.6  0.052   5.187    27     MPO776154
 (13060)                   1991 EJ     L4    4.512   5.785  10.82  20230913   67.31   97.8  280.4   23.0  0.124   5.148    26     MPO776155
 (13062) Podarkes          1991 HN     L4    5.120   5.244  11.26  20230913  104.24  291.2   91.0    8.2  0.012   5.182    25     MPO776155
 (13181) Peneleos          1996 RS28   L4    4.500   5.933  12.17  20230913  342.04  104.4   10.9    2.5  0.137   5.216    24     MPO776157
 (13182)                   1996 SO8    L4    4.624   5.804  10.83  20230913   74.15   66.9  302.9    5.1  0.113   5.214    26     MPO776157
 (13183)                   1996 TW     L4    4.758   5.695  10.82  20230913  138.40  315.9    8.0   17.9  0.090   5.226    26     MPO776157
 (13184) Augeias           1996 TS49   L4    4.931   5.434  11.17  20230913  145.06  100.0  227.4    4.5  0.049   5.183    27     MPO776157
 (13185) Agasthenes        1996 TH52   L4    4.910   5.491  12.14  20230913   43.34   54.1    4.3    9.1  0.056   5.200    25     MPO776157
 (13229) Echion            1997 VB1    L4    4.868   5.663  11.85  20230913  321.00  166.0  343.0    3.8  0.075   5.265    24     MPO776158
 (13230)                   1997 VG1    L4    4.766   5.406  11.44  20230913   25.27   37.5   53.8    4.3  0.063   5.086    24     MPO776158
 (13323)                   1998 SQ     L4    4.613   5.535  11.18  20230913    5.62  256.7  182.6    0.9  0.091   5.074    27     MPO776159
 (13331)                   1998 SU52   L4    4.517   5.634  11.51  20230913   25.36  149.9  284.8    2.3  0.110   5.075    23     MPO776159
 (13353)                   1998 TU12   L4    4.477   5.868  11.56  20230913  343.51   75.6   41.9   15.4  0.134   5.172    24     MPO776160
 (13362)                   1998 UQ16   L4    5.027   5.325  11.13  20230913  270.42  118.2   57.9    9.3  0.029   5.176    30     MPO776160
 (13366)                   1998 US24   L4    4.670   5.768  11.37  20230913  357.66  356.5   96.3    6.6  0.105   5.219    27     MPO776160
